key,loudness,speechiness,acousticness,instrumentalness,valence,genre,energy,danceability,tempo
2,-5.611,0.0425,0.148,0.625,0.795,pop,0.788,0.701,142.584
1,-10.226,0.0342,0.628,0,0.597,rock,0.667,0.554,112.749
9,-5.073,0.0484,0.00557,0.171,0.962,rock,0.784,0.535,176.241
11,-5.973,0.0359,0.0567,0.000858,0.685,pop,0.807,0.543,126.157
0,-9.338,0.0498,0.712,0.00309,0.946,rock,0.722,0.355,176.708
2,-8.838,0.0338,0.115,0.901,0.486,pop,0.529,0.697,155.974
7,-6.348,0.0395,0.581,4.47e-06,0.926,rock,0.722,0.492,130.97
8,-6.237,0.0624,0.00255,5.69e-05,0.564,rock,0.805,0.438,113.253
5,-7.016,0.0273,0.0425,2.33e-05,0.161,pop,0.574,0.511,119.917
11,-6.76,0.0615,0.000854,0.121,0.725,pop,0.93,0.398,190.818
6,-7.736,0.046,0.0872,0.108,0.689,rock,0.904,0.45,125.072
2,-10.164,0.0497,0.406,0.0209,0.822,rock,0.519,0.653,98.883
9,-10.997,0.0528,0.225,4.3e-06,0.502,rock,0.519,0.63,143.942
1,-3.765,0.103,0.198,0.00184,0.103,hip hop,0.579,0.383,86.522
0,-11.691,0.0926,0.0547,0.702,0.898,pop,0.654,0.666,73.687
7,-9.504,0.122,0.121,0,0.337,pop,0.428,0.674,84.878
6,-8.966,0.038,0.0426,1.07e-06,0.862,pop,0.811,0.794,116.047
7,-11.225,0.03,0.0377,3.49e-06,0.688,rock,0.378,0.477,116.393
10,-7.859,0.0369,0.53,1.03e-05,0.373,rock,0.591,0.44,121.398
3,-3.521,0.0317,0.0703,0,0.73,rhythmic,0.803,0.619,119.538
2,-7.875,0.0324,0.73,4.92e-05,0.658,rock,0.473,0.649,105.048
10,-4.663,0.108,0.319,4.58e-05,0.847,rhythmic,0.812,0.825,108.352
2,-5.593,0.0362,0.00228,0,0.481,rock,0.85,0.413,174.423
1,-10.12,0.0956,0.29,0.798,0.251,rock,0.79,0.209,145.233
0,-11.34,0.0317,0.741,2.03e-05,0.562,rock,0.573,0.35,163.654
5,-10.836,0.0347,0.667,1.23e-06,0.649,rock,0.606,0.374,140.267
0,-8.624,0.0294,0.268,0.00197,0.339,rock,0.542,0.544,90.472
7,-9.642,0.0469,0.027,0.868,0.863,rock,0.632,0.68,125.894
7,-7.72,0.0292,0.727,0,0.709,rhythmic,0.386,0.521,95.793
5,-11.83,0.0326,0.879,0,0.315,rock,0.179,0.332,96.529
9,-6.514,0.0428,0.358,0.000939,0.754,pop,0.87,0.543,100.804
11,-10.32,0.0448,0.387,0.000326,0.966,rock,0.82,0.721,155.968
11,-5.9,0.0436,0.00509,0,0.751,pop,0.846,0.611,103.912
2,-8.206,0.034,0.247,0.000986,0.965,rock,0.665,0.516,168.795
2,-7.32,0.0522,0.149,0.0102,0.893,pop,0.657,0.87,110.596
5,-6.104,0.0466,0.0118,7.62e-05,0.15,hip hop,0.65,0.4,107.989
